sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,priors_count_cat,c_days_from_compas,c_charge_degree,two_year_recid
Male,29,25 - 45,African-American,0,0,0,0,None,1,F,1
Female,23,Less than 25,African-American,0,0,0,0,None,1,M,1
Male,62,Greater than 45,African-American,0,0,0,15,High,35,F,1
Female,33,25 - 45,Caucasian,0,0,0,0,None,3,M,1
Male,35,25 - 45,African-American,0,0,0,1,Low,1,M,1
Male,53,Greater than 45,Caucasian,0,0,0,0,None,0,F,1
Male,59,Greater than 45,Caucasian,0,0,0,17,High,25,F,0
Female,48,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Female,33,25 - 45,African-American,0,0,0,1,Low,10,F,1
Male,44,25 - 45,Caucasian,0,0,0,0,None,0,M,1
Male,31,25 - 45,Caucasian,0,0,0,10,High,18,F,0
Male,28,25 - 45,African-American,0,0,1,2,Low,1,F,0
Male,56,Greater than 45,Other,0,0,0,9,High,147,F,1
Male,51,Greater than 45,Hispanic,0,0,0,1,Low,18,F,1
Male,23,Less than 25,African-American,0,0,0,0,None,1,F,0
Male,21,Less than 25,Hispanic,0,0,0,0,None,1,F,1
Male,26,25 - 45,Caucasian,0,0,0,0,None,0,F,1
Male,22,Less than 25,African-American,0,3,0,3,Low,0,F,1
Male,29,25 - 45,African-American,0,0,0,0,None,1,M,1
Male,20,Less than 25,African-American,0,1,1,2,Low,1,F,0
Male,44,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Male,41,25 - 45,African-American,0,0,0,2,Low,1,F,1
Female,28,25 - 45,African-American,0,0,1,4,Moderate,0,F,1
Male,27,25 - 45,Caucasian,0,0,0,1,Low,1,M,0
Male,31,25 - 45,Caucasian,0,0,0,7,High,1,M,1
Male,23,Less than 25,Caucasian,0,0,0,5,Moderate,105,F,0
Male,33,25 - 45,African-American,0,0,0,16,High,243,M,0
Male,26,25 - 45,African-American,0,0,0,3,Low,21,F,0
Male,20,Less than 25,African-American,0,0,2,0,None,1,F,1
Male,55,Greater than 45,Caucasian,0,0,0,2,Low,1,M,0
Male,36,25 - 45,African-American,0,0,0,0,None,0,F,1
Male,48,Greater than 45,Other,0,0,0,4,Moderate,1,F,0
Male,22,Less than 25,Other,0,0,0,5,Moderate,1,F,0
Male,23,Less than 25,African-American,1,0,0,1,Low,1,M,1
Male,34,25 - 45,African-American,0,2,1,19,High,1,F,0
Female,59,Greater than 45,Caucasian,0,0,0,1,Low,21,F,1
Male,37,25 - 45,Caucasian,0,0,0,0,None,5,F,0
Female,28,25 - 45,Caucasian,0,0,0,0,None,1,F,0
Male,20,Less than 25,African-American,1,0,1,1,Low,47,F,0
Male,31,25 - 45,African-American,0,0,0,0,None,1,F,1
Female,38,25 - 45,African-American,0,0,0,14,High,1,F,0
Male,33,25 - 45,African-American,0,0,0,0,None,4,F,0
Male,27,25 - 45,African-American,0,0,0,3,Low,1,F,0
Male,25,25 - 45,Caucasian,0,0,0,2,Low,0,M,0
Female,42,25 - 45,African-American,0,0,0,2,Low,1,F,1
Male,22,Less than 25,African-American,0,0,0,3,Low,1,F,0
Male,21,Less than 25,Other,0,0,0,0,None,1,F,1
Male,57,Greater than 45,Caucasian,0,0,0,15,High,32,F,1
Male,45,Greater than 45,Caucasian,0,0,0,1,Low,1,F,0
Female,21,Less than 25,African-American,0,0,0,1,Low,11,M,0
Male,52,Greater than 45,Caucasian,0,0,0,2,Low,41,M,1
Male,29,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Female,37,25 - 45,African-American,0,0,0,0,None,0,M,1
Male,34,25 - 45,Caucasian,0,0,1,0,None,1,F,1
Male,53,Greater than 45,African-American,0,0,0,0,None,1,M,0
Female,30,25 - 45,African-American,0,0,0,8,High,1,F,0
Male,35,25 - 45,Hispanic,0,0,0,0,None,7,M,1
Male,28,25 - 45,Caucasian,0,0,0,1,Low,1,F,1
Male,21,Less than 25,African-American,0,0,0,1,Low,1,F,1
Male,22,Less than 25,African-American,0,0,0,1,Low,1,F,1
Male,42,25 - 45,Caucasian,0,0,0,1,Low,1,M,0
Male,26,25 - 45,African-American,0,0,0,3,Low,0,F,0
Male,54,Greater than 45,African-American,0,0,0,9,High,3940,M,1
Male,39,25 - 45,Other,0,0,0,1,Low,1,F,0
Male,30,25 - 45,African-American,2,0,0,20,High,0,F,0
Female,26,25 - 45,African-American,0,0,0,1,Low,1,F,0
Male,41,25 - 45,African-American,0,0,0,0,None,0,M,1
Male,23,Less than 25,Caucasian,1,0,1,5,Moderate,0,M,0
Male,43,25 - 45,Caucasian,0,0,0,1,Low,1,F,0
Male,22,Less than 25,African-American,0,0,0,0,None,2,M,0
Male,42,25 - 45,Hispanic,0,0,0,3,Low,100,M,1
Female,27,25 - 45,Caucasian,0,0,0,6,Moderate,1,F,0
Female,42,25 - 45,African-American,0,0,0,2,Low,1,M,1
Male,25,25 - 45,African-American,0,0,0,8,High,1,F,0
Male,49,Greater than 45,African-American,0,0,0,4,Moderate,1,M,1
Male,26,25 - 45,African-American,1,0,0,7,High,43,F,0
Male,52,Greater than 45,Caucasian,0,0,0,1,Low,1,F,1
Female,60,Greater than 45,Caucasian,0,0,0,2,Low,1,F,1
Female,23,Less than 25,African-American,0,0,0,0,None,1,M,1
Male,30,25 - 45,African-American,0,0,0,2,Low,1867,M,1
Male,48,Greater than 45,African-American,0,0,0,9,High,0,F,0
Male,32,25 - 45,African-American,0,0,0,2,Low,0,F,0
Male,28,25 - 45,Hispanic,0,0,1,3,Low,1,F,0
Male,24,Less than 25,African-American,0,0,0,5,Moderate,1,F,0
Female,26,25 - 45,African-American,0,0,0,3,Low,306,F,0
Male,22,Less than 25,African-American,0,0,0,3,Low,21,F,0
Male,44,25 - 45,African-American,0,0,0,2,Low,1,F,1
Male,32,25 - 45,Caucasian,0,0,0,3,Low,1,F,1
Female,27,25 - 45,African-American,0,0,0,1,Low,1,M,1
Male,52,Greater than 45,African-American,0,0,0,15,High,0,M,0
Male,61,Greater than 45,Caucasian,0,0,0,3,Low,0,M,0
Male,69,Greater than 45,African-American,0,0,0,3,Low,0,M,1
Male,51,Greater than 45,Other,0,0,0,2,Low,1,F,1
Female,21,Less than 25,Caucasian,0,0,0,1,Low,86,F,1
Male,31,25 - 45,Caucasian,1,0,0,2,Low,1,M,0
Male,19,Less than 25,African-American,0,2,0,3,Low,1,F,0
Male,24,Less than 25,African-American,0,5,0,12,High,0,M,0
Male,24,Less than 25,Caucasian,0,0,0,3,Low,1,F,0
Male,57,Greater than 45,Hispanic,0,0,0,3,Low,2,F,1
Male,30,25 - 45,Caucasian,0,0,0,6,Moderate,1,F,1
Male,43,25 - 45,African-American,0,0,0,4,Moderate,0,F,0
Male,24,Less than 25,African-American,0,0,1,4,Moderate,1,F,1
Female,30,25 - 45,Caucasian,0,0,0,7,High,17,M,1
Male,25,25 - 45,African-American,0,0,0,5,Moderate,1,F,0
Male,57,Greater than 45,Caucasian,0,0,0,0,None,,M,0
Female,56,Greater than 45,Caucasian,0,0,0,1,Low,1,F,1
Male,21,Less than 25,African-American,0,0,0,1,Low,8,F,1
Male,31,25 - 45,African-American,3,0,0,6,Moderate,1,F,0
Female,23,Less than 25,African-American,0,0,0,1,Low,1,F,1
Male,30,25 - 45,African-American,1,0,2,15,High,1,F,0
Male,42,25 - 45,Other,0,0,0,1,Low,13,M,1
Male,64,Greater than 45,Caucasian,0,0,0,0,None,1,F,1
Female,21,Less than 25,Caucasian,0,0,0,0,None,1,F,0
Male,36,25 - 45,African-American,0,0,0,5,Moderate,795,F,1
Female,50,Greater than 45,African-American,0,0,0,1,Low,1,F,1
Male,23,Less than 25,African-American,0,0,0,0,None,1,M,0
Male,28,25 - 45,Native American,0,0,0,2,Low,1,F,1
Female,25,25 - 45,Caucasian,0,0,0,5,Moderate,4,F,1
Female,47,Greater than 45,African-American,0,0,0,1,Low,762,F,1
Male,28,25 - 45,African-American,0,0,1,7,High,9,F,0
Male,53,Greater than 45,Hispanic,0,0,0,4,Moderate,490,F,1
Male,54,Greater than 45,Caucasian,0,0,0,14,High,1,M,0
Male,37,25 - 45,Other,0,0,0,6,Moderate,1,M,1
Male,25,25 - 45,Caucasian,0,0,1,5,Moderate,1,M,0
Male,63,Greater than 45,Caucasian,0,0,0,0,None,1,M,0
Male,35,25 - 45,African-American,0,0,0,2,Low,1,M,1
Male,20,Less than 25,African-American,9,0,0,9,High,23,F,0
Male,26,25 - 45,Hispanic,0,0,0,0,None,1,M,0
Male,32,25 - 45,African-American,0,0,0,2,Low,677,F,1
Male,25,25 - 45,African-American,0,0,0,8,High,1,M,0
Male,33,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Male,29,25 - 45,African-American,0,0,0,7,High,1,F,1
Male,27,25 - 45,Hispanic,0,0,0,2,Low,1,M,1
Male,37,25 - 45,African-American,1,0,1,12,High,1,M,0
Female,20,Less than 25,Caucasian,0,2,1,3,Low,1,M,0
Male,32,25 - 45,African-American,0,0,0,1,Low,1,F,0
Male,72,Greater than 45,Caucasian,0,0,0,1,Low,23,M,1
Male,38,25 - 45,Caucasian,0,0,0,0,None,1,F,1
Male,40,25 - 45,Caucasian,0,0,0,0,None,1,F,1
Male,23,Less than 25,Caucasian,0,0,0,0,None,1,F,1
Male,21,Less than 25,Caucasian,0,0,0,5,Moderate,10,F,0
Male,27,25 - 45,Caucasian,0,0,0,4,Moderate,0,F,0
Male,55,Greater than 45,Caucasian,0,0,0,13,High,1,F,0
Male,23,Less than 25,African-American,0,3,0,5,Moderate,0,F,0
Female,41,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Male,56,Greater than 45,Caucasian,0,0,0,1,Low,1,M,1
Male,55,Greater than 45,Caucasian,0,0,0,11,High,338,M,1
Female,23,Less than 25,Hispanic,0,0,0,0,None,3,F,0
Male,28,25 - 45,African-American,0,0,0,3,Low,1,F,1
Male,31,25 - 45,Other,0,0,0,2,Low,1,F,0
Male,56,Greater than 45,African-American,0,0,0,3,Low,49,M,1
Male,53,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Male,27,25 - 45,African-American,0,0,0,6,Moderate,1,F,0
Male,22,Less than 25,Caucasian,0,0,0,0,None,1,F,0
Female,22,Less than 25,African-American,0,0,1,0,None,1,F,0
Male,33,25 - 45,African-American,0,0,0,7,High,1,M,0
Male,34,25 - 45,African-American,0,0,0,15,High,6,F,1
Male,22,Less than 25,Hispanic,0,0,0,0,None,0,M,0
Male,32,25 - 45,African-American,0,0,0,12,High,1,F,1
Male,47,Greater than 45,African-American,4,0,1,14,High,1,F,0
Male,24,Less than 25,Asian,0,0,0,0,None,1,M,1
Male,25,25 - 45,African-American,0,4,4,14,High,1,F,0
Male,56,Greater than 45,Caucasian,0,0,0,0,None,1,F,1
Male,36,25 - 45,Hispanic,0,0,0,1,Low,22,F,0
Male,28,25 - 45,African-American,0,0,0,4,Moderate,1,F,0
Male,20,Less than 25,African-American,2,0,0,2,Low,1,F,0
Male,59,Greater than 45,Hispanic,0,0,0,0,None,2,M,1
Female,27,25 - 45,Caucasian,0,0,0,1,Low,238,F,0
Female,29,25 - 45,African-American,0,0,0,11,High,1,F,1
Male,72,Greater than 45,Caucasian,0,0,0,3,Low,5,F,1
Female,24,Less than 25,African-American,0,0,0,2,Low,1,M,0
Male,45,Greater than 45,African-American,0,0,0,3,Low,35,F,1
Male,30,25 - 45,African-American,0,0,0,7,High,1,M,0
Male,45,Greater than 45,African-American,0,0,0,0,None,1,M,1
Male,47,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Male,24,Less than 25,African-American,0,0,0,0,None,1,F,0
Male,20,Less than 25,African-American,0,0,0,0,None,1,M,0
Male,51,Greater than 45,Caucasian,0,0,0,6,Moderate,0,F,0
Male,34,25 - 45,African-American,0,0,0,2,Low,128,M,1
Male,22,Less than 25,Hispanic,0,0,0,2,Low,257,F,1
Female,49,Greater than 45,Caucasian,0,0,0,2,Low,1,M,0
Male,41,25 - 45,Caucasian,0,0,0,5,Moderate,1,F,1
Male,49,Greater than 45,Caucasian,0,0,0,1,Low,17,F,1
Male,26,25 - 45,Hispanic,0,0,0,0,None,1,M,1
Female,34,25 - 45,Caucasian,0,0,0,2,Low,49,F,0
Female,28,25 - 45,African-American,0,0,0,0,None,1,M,1
Male,33,25 - 45,Caucasian,0,0,0,2,Low,1,M,1
Male,46,Greater than 45,African-American,0,0,0,0,None,1,F,1
Male,21,Less than 25,African-American,0,0,0,0,None,1,M,1
Male,26,25 - 45,African-American,0,1,3,14,High,1,F,0
Female,28,25 - 45,Hispanic,0,0,0,2,Low,65,M,1
Male,48,Greater than 45,Hispanic,0,0,0,1,Low,169,F,0
Male,58,Greater than 45,African-American,0,0,0,24,High,0,F,0
Male,29,25 - 45,Other,0,0,0,0,None,1,F,1
Female,20,Less than 25,African-American,0,0,3,2,Low,1,F,0
Male,28,25 - 45,African-American,0,0,0,0,None,1,M,0
Male,21,Less than 25,Caucasian,0,0,0,0,None,1,F,0
Male,26,25 - 45,Other,0,0,0,0,None,1,F,1
Male,34,25 - 45,African-American,0,0,0,3,Low,4,M,1
Male,32,25 - 45,African-American,2,0,0,15,High,1,F,0
Male,38,25 - 45,African-American,0,0,1,10,High,1,F,0
Male,22,Less than 25,African-American,0,0,0,0,None,1,F,1
Male,42,25 - 45,Caucasian,0,0,0,2,Low,1,F,0
Female,57,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Female,56,Greater than 45,Caucasian,0,0,0,1,Low,20,F,1
Male,32,25 - 45,Hispanic,0,0,0,2,Low,0,M,0
Male,30,25 - 45,African-American,0,2,2,11,High,1,F,1
Male,29,25 - 45,African-American,0,0,0,2,Low,1,M,1
Male,46,Greater than 45,African-American,0,0,1,15,High,1,F,0
Male,36,25 - 45,African-American,2,0,0,5,Moderate,64,F,1
Female,24,Less than 25,African-American,0,0,0,0,None,1,F,1
Female,70,Greater than 45,African-American,0,0,0,1,Low,1,F,1
Male,21,Less than 25,Hispanic,0,0,0,0,None,0,F,0
Female,45,Greater than 45,Caucasian,0,0,0,1,Low,11,M,1
Female,33,25 - 45,Hispanic,0,0,0,2,Low,1,M,1
Female,39,25 - 45,African-American,0,1,0,6,Moderate,1,F,1
Male,25,25 - 45,Caucasian,0,1,0,6,Moderate,16,F,1
Male,48,Greater than 45,Hispanic,0,0,0,1,Low,1,M,1
Female,32,25 - 45,Caucasian,0,0,0,1,Low,41,M,0
Male,46,Greater than 45,Caucasian,0,0,0,0,None,1,F,1
Male,28,25 - 45,Caucasian,0,0,0,0,None,1,M,0
Male,32,25 - 45,Caucasian,0,0,0,1,Low,229,M,1
Male,27,25 - 45,African-American,0,0,0,1,Low,1,F,1
Male,43,25 - 45,Caucasian,0,0,0,11,High,227,F,0
Male,56,Greater than 45,Caucasian,0,0,0,5,Moderate,38,F,0
Male,30,25 - 45,African-American,0,0,0,9,High,0,F,0
Male,35,25 - 45,African-American,0,4,17,12,High,734,F,1
Male,29,25 - 45,Caucasian,0,0,0,1,Low,22,F,1
Male,54,Greater than 45,African-American,0,0,0,8,High,1,F,0
Female,20,Less than 25,Caucasian,0,0,0,0,None,0,F,1
Male,29,25 - 45,African-American,0,0,0,0,None,1,F,1
Male,28,25 - 45,Other,0,0,0,3,Low,249,F,1
Male,67,Greater than 45,Asian,0,0,0,0,None,1,M,1
Female,46,Greater than 45,African-American,0,0,0,1,Low,1041,M,1
Male,25,25 - 45,Other,0,0,0,0,None,1,F,1
Male,24,Less than 25,African-American,0,2,1,8,High,1,F,0
Male,29,25 - 45,Other,0,0,0,3,Low,1,F,1
Male,45,Greater than 45,African-American,0,0,0,2,Low,345,M,1
Male,31,25 - 45,African-American,0,0,0,5,Moderate,1,F,0
Male,23,Less than 25,Caucasian,0,0,0,0,None,1,F,0
Male,21,Less than 25,African-American,0,0,0,0,None,1,F,0
Male,61,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Female,51,Greater than 45,Caucasian,0,0,0,5,Moderate,1,M,0
Male,32,25 - 45,Other,0,0,0,1,Low,15,F,1
Male,43,25 - 45,Caucasian,0,0,0,9,High,2,F,1
Male,32,25 - 45,Other,0,0,0,0,None,1,M,1
Male,36,25 - 45,African-American,0,0,0,0,None,1,F,1
Male,58,Greater than 45,Caucasian,0,0,0,3,Low,0,F,0
Male,32,25 - 45,African-American,0,0,0,1,Low,885,M,1
Male,57,Greater than 45,African-American,0,0,0,12,High,1,F,1
Male,37,25 - 45,African-American,0,0,0,2,Low,0,F,1
Male,44,25 - 45,African-American,0,0,0,6,Moderate,1,F,1
Male,51,Greater than 45,African-American,0,0,0,8,High,447,F,1
Male,45,Greater than 45,Hispanic,0,0,0,4,Moderate,140,F,1
Male,28,25 - 45,Caucasian,0,0,2,9,High,297,M,1
Male,45,Greater than 45,African-American,0,0,0,8,High,0,F,0
Male,48,Greater than 45,Other,0,0,0,1,Low,1,F,1
Male,26,25 - 45,African-American,0,1,1,13,High,1,F,0
Male,34,25 - 45,Caucasian,1,0,0,9,High,1,F,0
Male,25,25 - 45,African-American,0,0,0,0,None,1,F,1
Male,31,25 - 45,African-American,0,0,0,8,High,1,M,0
Male,43,25 - 45,African-American,0,0,0,1,Low,1,F,1
Male,30,25 - 45,African-American,0,0,0,0,None,0,M,1
Male,50,Greater than 45,Caucasian,0,0,0,0,None,2,M,1
Female,31,25 - 45,African-American,0,0,0,2,Low,1,F,1
Female,33,25 - 45,Caucasian,0,0,0,7,High,6,M,1
Male,32,25 - 45,African-American,0,0,0,1,Low,1,F,0
Female,46,Greater than 45,Caucasian,0,0,0,0,None,1,M,0
Male,22,Less than 25,Hispanic,0,0,0,0,None,1,F,1
Male,37,25 - 45,African-American,0,0,0,8,High,1,F,0
Female,32,25 - 45,Caucasian,0,0,0,6,Moderate,1,F,0
Female,23,Less than 25,African-American,0,0,0,2,Low,1,F,0
Male,21,Less than 25,Caucasian,0,0,0,0,None,1,F,1
Male,22,Less than 25,Other,0,0,0,1,Low,287,F,1
Male,52,Greater than 45,Other,0,0,0,2,Low,1,F,1
Male,49,Greater than 45,Caucasian,0,0,0,2,Low,1,M,1
Male,55,Greater than 45,Caucasian,0,0,0,3,Low,1,F,0
Male,22,Less than 25,African-American,0,0,0,0,None,1,F,1
Male,45,Greater than 45,Hispanic,0,0,0,0,None,1,F,1
Female,31,25 - 45,African-American,0,0,0,7,High,1,F,0
Male,22,Less than 25,Caucasian,0,0,1,0,None,1,M,0
Male,28,25 - 45,African-American,0,0,0,5,Moderate,1,M,1
Male,21,Less than 25,African-American,0,0,0,1,Low,1,F,0
Male,37,25 - 45,Hispanic,0,0,1,2,Low,1,M,1
Male,30,25 - 45,African-American,0,2,0,21,High,1,F,0
Male,22,Less than 25,African-American,0,0,1,13,High,1,F,0
Male,35,25 - 45,African-American,0,1,0,23,High,1,F,0
Male,28,25 - 45,African-American,2,1,0,11,High,1,F,1
Male,24,Less than 25,African-American,0,0,0,1,Low,1,F,1
Male,44,25 - 45,African-American,0,0,0,9,High,132,F,1
Male,25,25 - 45,Hispanic,0,0,4,5,Moderate,1223,F,1
Male,32,25 - 45,African-American,1,3,0,24,High,1,F,0
Male,29,25 - 45,African-American,0,0,0,5,Moderate,55,F,0
Female,24,Less than 25,African-American,0,0,0,1,Low,1,F,1
Male,57,Greater than 45,African-American,0,0,0,19,High,1,F,1
Male,21,Less than 25,Other,0,0,0,0,None,1,M,1
Male,28,25 - 45,Caucasian,0,0,0,0,None,1,F,1
Male,51,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Male,34,25 - 45,African-American,0,0,0,6,Moderate,3238,F,0
Male,26,25 - 45,African-American,0,0,0,0,None,1,M,0
Male,20,Less than 25,African-American,0,0,3,0,None,1,F,0
Male,25,25 - 45,African-American,0,1,0,6,Moderate,0,M,1
Male,19,Less than 25,Caucasian,0,0,0,0,None,1,M,0
Male,49,Greater than 45,Caucasian,0,0,0,1,Low,1,F,0
Male,57,Greater than 45,African-American,0,0,0,27,High,9,M,1
Female,27,25 - 45,African-American,0,0,0,0,None,0,M,1
Male,66,Greater than 45,Caucasian,0,0,0,1,Low,1,M,1
Female,25,25 - 45,African-American,0,0,0,4,Moderate,46,M,0
Male,21,Less than 25,Caucasian,0,0,0,0,None,0,F,1
Male,45,Greater than 45,Caucasian,0,0,0,1,Low,1,F,1
Male,38,25 - 45,African-American,0,0,0,6,Moderate,205,F,0
Male,37,25 - 45,African-American,2,3,0,24,High,1,F,1
Male,44,25 - 45,Caucasian,0,0,0,13,High,1,F,0
Male,64,Greater than 45,African-American,0,0,0,0,None,1,F,1
Male,30,25 - 45,African-American,0,0,0,1,Low,1,F,0
Male,61,Greater than 45,African-American,0,0,0,1,Low,1,M,1
Male,33,25 - 45,Caucasian,0,0,0,0,None,1,F,1
Female,49,Greater than 45,Caucasian,0,0,0,8,High,10,F,1
Male,23,Less than 25,African-American,0,0,0,0,None,1,F,1
Male,33,25 - 45,African-American,0,0,0,14,High,79,F,1
Male,21,Less than 25,Caucasian,0,0,0,0,None,2,F,0
Female,30,25 - 45,Caucasian,0,0,0,2,Low,0,F,0
Male,26,25 - 45,Hispanic,0,0,1,7,High,1,M,1
Male,35,25 - 45,Other,0,0,0,3,Low,1,M,0
Male,27,25 - 45,African-American,0,0,1,2,Low,1,M,1
Male,38,25 - 45,Caucasian,0,0,0,1,Low,1,M,1
Male,48,Greater than 45,African-American,0,0,0,14,High,298,F,0
Male,26,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Male,24,Less than 25,African-American,0,1,0,4,Moderate,27,F,0
Female,28,25 - 45,African-American,0,0,0,2,Low,0,F,0
Female,44,25 - 45,Caucasian,0,0,0,4,Moderate,0,F,0
Male,23,Less than 25,Caucasian,0,0,1,2,Low,0,F,1
Female,34,25 - 45,Caucasian,0,0,0,1,Low,1,F,0
Male,20,Less than 25,Caucasian,0,1,0,1,Low,1,F,0
Male,63,Greater than 45,Other,0,0,0,23,High,1,F,0
Female,36,25 - 45,African-American,0,0,0,0,None,0,M,1
Male,58,Greater than 45,Caucasian,0,0,0,1,Low,1,F,1
Male,25,25 - 45,African-American,0,0,0,7,High,520,F,0
Male,46,Greater than 45,Caucasian,0,0,0,5,Moderate,240,M,1
Female,35,25 - 45,Caucasian,0,0,0,4,Moderate,30,F,1
Male,23,Less than 25,African-American,0,0,0,3,Low,1,F,1
Male,40,25 - 45,Caucasian,0,0,0,1,Low,21,F,1
Male,31,25 - 45,Hispanic,0,0,0,3,Low,1,F,1
Female,34,25 - 45,Hispanic,0,0,0,5,Moderate,1,F,1
Male,23,Less than 25,African-American,0,0,0,3,Low,1,M,0
Male,27,25 - 45,Caucasian,0,0,0,0,None,5,M,0
Female,26,25 - 45,African-American,0,0,0,3,Low,27,F,1
Male,49,Greater than 45,African-American,0,0,0,1,Low,0,F,1
Female,47,Greater than 45,Hispanic,0,0,0,0,None,0,M,1
Female,45,Greater than 45,Native American,0,0,0,1,Low,147,M,1
Male,47,Greater than 45,African-American,0,0,0,6,Moderate,0,F,1
Male,34,25 - 45,African-American,0,0,0,7,High,1,F,0
Male,45,Greater than 45,Hispanic,0,0,0,1,Low,37,M,1
Male,27,25 - 45,African-American,0,0,0,10,High,1,F,1
Female,52,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Male,26,25 - 45,African-American,0,0,0,0,None,3,M,0
Male,25,25 - 45,African-American,0,0,1,9,High,1,F,1
Male,51,Greater than 45,African-American,0,0,0,1,Low,1,F,1
Female,29,25 - 45,African-American,0,0,0,1,Low,0,M,1
Male,39,25 - 45,African-American,0,0,0,1,Low,5806,F,1
Male,46,Greater than 45,Caucasian,0,0,0,0,None,1,F,1
Male,28,25 - 45,Caucasian,0,0,0,6,Moderate,2,F,1
Male,57,Greater than 45,African-American,0,0,0,0,None,1,F,1
Male,23,Less than 25,Hispanic,0,0,0,2,Low,1,F,1
Male,34,25 - 45,African-American,0,0,0,27,High,1,F,0
Male,27,25 - 45,African-American,0,0,0,3,Low,1,F,1
Male,25,25 - 45,African-American,0,0,1,7,High,1,M,0
Male,31,25 - 45,Caucasian,0,0,0,1,Low,1,F,0
Male,37,25 - 45,African-American,0,0,0,8,High,1,F,1
Male,51,Greater than 45,African-American,0,0,0,0,None,0,F,0
Male,51,Greater than 45,Hispanic,0,0,0,3,Low,14,M,1
Male,28,25 - 45,African-American,0,1,0,8,High,1,F,1
Male,56,Greater than 45,Caucasian,0,0,0,4,Moderate,0,F,1
Male,45,Greater than 45,African-American,0,0,0,15,High,1,F,0
Male,26,25 - 45,Caucasian,0,0,0,7,High,1,F,0
Male,33,25 - 45,Caucasian,0,0,0,7,High,1,F,0
Male,23,Less than 25,Caucasian,0,0,3,0,None,2,M,1
Male,31,25 - 45,African-American,0,0,0,0,None,0,M,1
Male,31,25 - 45,Other,0,0,0,0,None,1,M,1
Male,19,Less than 25,Hispanic,1,0,0,1,Low,12,F,1
Male,32,25 - 45,Caucasian,0,0,0,0,None,0,F,1
Male,30,25 - 45,Caucasian,0,0,0,1,Low,1,M,0
Female,48,Greater than 45,Hispanic,0,0,0,9,High,87,F,1
Male,66,Greater than 45,Caucasian,0,0,0,1,Low,1,F,1
Female,40,25 - 45,African-American,0,0,0,0,None,1,F,1
Male,59,Greater than 45,African-American,0,0,0,4,Moderate,1,M,1
Male,25,25 - 45,African-American,0,0,0,5,Moderate,120,F,1
Male,27,25 - 45,African-American,0,0,0,3,Low,282,M,1
Male,22,Less than 25,African-American,0,0,0,0,None,1,F,1
Male,58,Greater than 45,Caucasian,0,0,0,1,Low,1,F,1
Male,49,Greater than 45,African-American,0,0,0,1,Low,1,M,1
Male,29,25 - 45,Caucasian,0,0,0,2,Low,2,F,1
Female,44,25 - 45,Caucasian,0,0,0,11,High,1,F,0
Male,24,Less than 25,African-American,0,0,0,2,Low,453,F,1
Male,27,25 - 45,African-American,0,0,0,0,None,1,F,0
Female,34,25 - 45,African-American,0,0,0,5,Moderate,53,F,0
Male,24,Less than 25,Caucasian,0,0,0,0,None,3,F,1
Female,35,25 - 45,Caucasian,0,1,0,3,Low,0,F,1
Male,65,Greater than 45,Caucasian,0,0,0,4,Moderate,68,M,1
Male,29,25 - 45,African-American,0,2,1,7,High,0,F,0
Male,30,25 - 45,African-American,1,0,0,5,Moderate,1,F,0
Male,23,Less than 25,African-American,0,1,1,1,Low,1,F,1
Male,32,25 - 45,Caucasian,0,0,0,2,Low,27,F,0
Male,22,Less than 25,Caucasian,0,0,0,2,Low,1,F,1
Male,21,Less than 25,African-American,0,0,0,0,None,1,M,1
Female,43,25 - 45,Caucasian,0,0,0,0,None,2,M,1
Male,29,25 - 45,African-American,0,0,0,0,None,1,F,1
Male,43,25 - 45,African-American,0,0,0,1,Low,1,F,1
Male,25,25 - 45,African-American,0,0,0,1,Low,1,F,1
Male,47,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Female,21,Less than 25,African-American,0,0,0,0,None,2,F,1
Female,25,25 - 45,African-American,0,0,0,1,Low,1554,M,1
Male,54,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Male,34,25 - 45,African-American,0,0,1,3,Low,1,F,0
Female,28,25 - 45,African-American,0,0,0,2,Low,1,M,1
Female,53,Greater than 45,Caucasian,0,0,0,4,Moderate,1,F,0
Male,54,Greater than 45,African-American,0,0,0,0,None,1,M,1
Male,37,25 - 45,Hispanic,0,0,0,3,Low,1,F,0
Male,34,25 - 45,African-American,0,0,0,2,Low,1,F,1
Male,50,Greater than 45,Hispanic,0,0,0,11,High,210,M,1
Female,60,Greater than 45,Caucasian,0,0,0,0,None,1,F,0
Male,22,Less than 25,African-American,0,0,0,0,None,1,F,1
Male,51,Greater than 45,African-American,0,0,0,3,Low,1,F,1
